title,Link,Scraped_At
Israel-Gaza War,https://www.bbc.com/news/topics/c2vdnvdg6xxt,28-08-2025 17:25:00
War in Ukraine,https://www.bbc.com/news/war-in-ukraine,28-08-2025 17:25:00
US & Canada,https://www.bbc.com/news/us-canada,28-08-2025 17:25:00
UK,https://www.bbc.com/news/uk,28-08-2025 17:25:00
Africa,https://www.bbc.com/news/world/africa,28-08-2025 17:25:00
Asia,https://www.bbc.com/news/world/asia,28-08-2025 17:25:00
Australia,https://www.bbc.com/news/world/australia,28-08-2025 17:25:00
Europe,https://www.bbc.com/news/world/europe,28-08-2025 17:25:00
Latin America,https://www.bbc.com/news/world/latin_america,28-08-2025 17:25:00
Middle East,https://www.bbc.com/news/world/middle_east,28-08-2025 17:25:00
In Pictures,https://www.bbc.com/news/in_pictures,28-08-2025 17:25:00
BBC InDepth,https://www.bbc.com/news/bbcindepth,28-08-2025 17:25:00
BBC Verify,https://www.bbc.com/news/bbcverify,28-08-2025 17:25:00
UK Politics,https://www.bbc.com/news/politics,28-08-2025 17:25:00
England,https://www.bbc.com/news/england,28-08-2025 17:25:00
N. Ireland,https://www.bbc.com/news/northern_ireland,28-08-2025 17:25:00
N. Ireland Politics,https://www.bbc.com/news/northern_ireland/northern_ireland_politics,28-08-2025 17:25:00
Scotland,https://www.bbc.com/news/scotland,28-08-2025 17:25:00
Scotland Politics,https://www.bbc.com/news/scotland/scotland_politics,28-08-2025 17:25:00
Wales,https://www.bbc.com/news/wales,28-08-2025 17:25:00
Wales Politics,https://www.bbc.com/news/wales/wales_politics,28-08-2025 17:25:00
China,https://www.bbc.com/news/world/asia/china,28-08-2025 17:25:00
India,https://www.bbc.com/news/world/asia/india,28-08-2025 17:25:00
Xi shows Trump who holds the cards as he sets up meeting with Kim and PutinThe leaders of North Korea and Russia will attend China's military parade next week - a win for Xi.5 hrs agoAsia,https://www.bbc.com/news/articles/cx29z9g2kl2o,28-08-2025 17:25:00
"LIVEUK to summon Russian ambassador after strikes on Kyiv kill at least 15UK PM Keir Starmer says Russia is ""sabotaging hopes of peace"" after the overnight attacks kill four children in Ukraine.",https://www.bbc.com/news/live/czd0z0grm9lt,28-08-2025 17:25:00
"Woman says Chinese student predator raped her hours before second attackPolice first thought there had only been one rape, because the women's stories were so similar.13 hrs agoAsia",https://www.bbc.com/news/articles/c79l4z3v3p3o,28-08-2025 17:25:00
How Tokyo is using AI video to prepare for a Mt Fuji eruptionTokyo authorities say they released the AI-generated video to raise awareness and help people prepare for disaster - but how likely is Mt Fuji to actually erupt?8 hrs agoAsia,https://www.bbc.com/news/videos/cq58x3y4l4zo,28-08-2025 17:25:00
'My friend got hit in the back': Witnesses describe terror of Minnesota school shootingOne young boy says he was protected from gunfire in a church by a friend who lay on top of him and was shot.1 hr agoUS & Canada,https://www.bbc.com/news/articles/cev2w1elx7wo,28-08-2025 17:25:00
"Caning and fines for those caught in Singapore drug vape crackdownA rise in popularity of vapes laced with etomidate, an anaesthetic drug, has caused widespread alarm.3 hrs agoAsia",https://www.bbc.com/news/articles/cz60z98nzx7o,28-08-2025 17:25:00
"LIVEWhat online posts reveal about Minneapolis shooting suspectLatest updates from the BBC's specialists in fact-checking, verifying video and tackling disinformation.",https://www.bbc.com/news/live/cy4dz3w34n2t,28-08-2025 17:25:00
Trump adviser calls Ukraine conflict 'Modi's war' as US tariffs on India rise,https://www.bbc.com/news/articles/c4gzd8gkr5jo,28-08-2025 17:25:00
Japanese town proposes two-hour daily limit on smartphones,https://www.bbc.com/news/articles/cqlew2rv337o,28-08-2025 17:25:00
Fired CDC director says RFK 'weaponising public health' as more leaders quit agency,https://www.bbc.com/news/articles/cwy3zjxy3dwo,28-08-2025 17:25:00
North Korea's Kim Jong Un to join Putin at China military parade,https://www.bbc.com/news/articles/c17njr88ge4o,28-08-2025 17:25:00
US tells Denmark to 'calm down' over alleged Greenland influence operation,https://www.bbc.com/news/articles/c0j9l08902eo,28-08-2025 17:25:00
